Room_Name,UE_RNTI,RSRP_Serving_Cell,RSRQ_Serving_Cell,UE_Power_Headroom,Pusch_SNR,Total_BLER,USR_UE_Power_Headroom,Estimated UE power,SNR,timing offset,dl cqi,ul cqi,spatial power 1,spatial power 2,channel est ofdm 1,channel est ofdm 2,UCI low,UCI high
0,UE_rnti1731,-75,-4,40,19,39,41,8,19,4,15,168,32,0,2162704,1048572,126,163
0,UE_rnti1731,-75,-4,40,20,40,42,8,20,8,15,168,30,0,1638424,917508,187,175
0,UE_rnti57928,-75,-4,18,31,45,28,8,31,8,15,116,19,0,1900553,196593,22235,23318
0,UE_rnti20727,-71,-4,19,19,13,24,8,19,8,15,117,19,0,1900557,655364,2352,2352
0,UE_rnti4879,-77,-4,14,24,26,23,8,24,8,15,110,19,0,2686991,851962,575,588
0,UE_rnti52052,-85,-4,21,19,19,23,8,19,8,15,165,32,0,3670028,917501,308,234
0,UE_rnti52052,-77,-4,28,23,24,36,27,15,9,15,172,32,0,3604469,458699,37,63
0,UE_rnti52052,-75,-4,38,20,25,39,8,19,15,15,169,31,0,1966090,-1179648,37,63
0,UE_rnti52052,-75,-4,38,20,30,40,8,20,8,15,169,32,0,4390904,1572841,392,416
0,UE_rnti52052,-74,-4,40,19,30,40,8,20,13,15,166,33,0,5177357,1835008,521,525
0,UE_rnti52052,-74,-4,39,20,33,40,8,20,17,15,162,34,0,4718623,2293757,278,278
0,UE_rnti52052,-73,-4,40,19,33,38,8,19,8,15,168,34,0,4653104,983054,307,313
0,UE_rnti52052,-73,-4,39,19,34,39,8,20,8,15,166,34,0,2424803,-852028,384,462
0,UE_rnti52052,-73,-4,39,21,36,39,8,20,11,15,169,35,0,5505028,3276773,266,293
0,UE_rnti52052,-73,-4,39,20,37,39,8,20,9,15,169,19,0,2818057,-131090,523,500
0,UE_rnti52052,-73,-4,39,20,38,39,8,20,10,15,170,36,0,5505037,3211265,503,400
0,UE_rnti52052,-73,-4,39,20,39,39,8,20,10,15,169,35,0,1441774,-983102,144,120
0,UE_rnti52052,-73,-4,39,20,40,39,8,20,7,15,171,19,0,3080198,-393229,291,401
0,UE_rnti52052,-73,-4,39,20,40,39,8,20,13,15,169,34,0,3735518,262089,276,243
0,UE_rnti52052,-73,-4,39,19,41,39,8,20,7,15,170,35,0,1376303,-851935,92,60
0,UE_rnti52052,-73,-4,39,19,42,39,8,19,15,15,170,19,0,2555898,-65548,593,591
0,UE_rnti52052,-73,-4,39,19,42,39,8,20,15,15,165,34,0,4259830,2359265,363,271
0,UE_rnti52052,-74,-4,39,20,42,39,8,21,10,15,167,34,0,1966120,-1376233,234,241
0,UE_rnti52052,-74,-4,40,20,43,40,8,20,11,15,170,19,0,2097165,-196628,138,148
0,UE_rnti52052,-73,-4,40,20,43,40,8,21,19,15,167,34,0,1310742,-2818053,274,260
0,UE_rnti52052,-73,-4,40,20,42,40,8,20,5,15,168,34,0,1376302,-1769460,414,510
0,UE_rnti52052,-73,-4,40,20,42,40,8,20,15,15,170,19,0,2555913,-196628,557,424
0,UE_rnti52052,-73,-4,39,19,42,39,8,19,13,15,167,34,0,196583,-2424871,473,507
0,UE_rnti52052,-72,-4,40,20,42,40,8,19,8,15,167,35,0,3407833,-720955,488,425
0,UE_rnti52052,-73,-4,40,19,42,40,8,19,9,15,171,19,0,2490389,524283,275,207
0,UE_rnti52052,-73,-4,38,21,42,40,8,21,14,15,166,34,0,1114097,-1835054,593,602
0,UE_rnti52052,-71,-4,40,19,43,41,8,19,9,15,168,34,0,393229,-2359298,529,594
0,UE_rnti52052,-71,-4,39,19,43,39,8,19,12,15,170,19,0,2293771,196591,218,210
0,UE_rnti52052,-71,-4,39,20,43,39,8,21,9,15,170,35,0,5570549,2621410,588,609
0,UE_rnti52052,-72,-4,39,20,43,37,8,20,8,15,169,35,0,2883641,131100,575,588
0,UE_rnti52052,-71,-4,40,20,43,40,8,20,13,15,173,19,0,2162688,-262163,129,139
0,UE_rnti52052,-71,-4,39,20,43,40,8,21,16,15,169,34,0,4718570,1507291,483,504
0,UE_rnti52052,-71,-4,39,20,44,39,8,20,8,15,167,33,0,1572848,-655410,625,590
0,UE_rnti52052,-71,-4,40,20,44,40,8,20,12,15,168,34,0,851971,-2555927,207,188
0,UE_rnti52052,-74,-4,40,19,44,41,8,20,17,15,160,35,0,3801052,1048522,1164,1134
0,UE_rnti52052,-73,-4,38,19,44,38,8,19,11,15,167,35,0,1572925,-1703908,591,591
0,UE_rnti52052,-73,-4,36,21,44,36,8,21,8,15,170,34,0,4194283,1507280,155,226
0,UE_rnti52052,-73,-4,40,20,44,41,8,21,20,15,166,32,0,2293748,-1310755,298,340
0,UE_rnti52052,-72,-4,39,22,44,39,8,21,15,15,165,32,0,4456448,1703902,378,429
0,UE_rnti52052,-75,-4,37,20,44,37,8,20,8,15,172,35,0,3801041,720841,756,733
0,UE_rnti52052,-77,-4,39,22,44,39,8,23,13,15,171,37,0,5898293,2031639,859,954
0,UE_rnti52052,-75,-4,40,19,44,42,8,17,5,15,165,34,0,5767178,2555887,50,24
0,UE_rnti52052,-74,-4,40,19,44,41,8,19,9,15,170,35,0,1245162,-1900590,510,388
0,UE_rnti52052,-75,-4,40,19,45,41,8,20,16,15,167,35,0,196600,-2621492,588,588
0,UE_rnti16502,-91,-4,10,19,28,11,8,19,20,15,157,29,0,3801102,2686956,1762,1847
0,UE_rnti16502,-91,-4,11,14,26,26,8,19,1,15,168,30,0,3342381,1703947,528,375
0,UE_rnti16502,-94,-5,14,26,30,11,8,26,-5,15,185,41,0,5701566,3801002,7357,7480
0,UE_rnti16502,-92,-5,22,21,31,17,8,23,1,15,176,31,0,4980757,2686976,425,458
0,UE_rnti16502,-97,-5,17,23,32,17,8,18,-5,15,166,24,0,2687014,1376270,575,549
0,UE_rnti16502,-96,-5,25,20,34,25,8,20,-6,15,168,19,0,2293784,851974,575,549
0,UE_rnti16502,-96,-5,25,19,35,24,8,19,-5,15,170,29,0,4194309,1966070,575,549
0,UE_rnti16502,-92,-5,24,19,36,23,8,19,1,15,166,19,0,1900573,1376257,575,549
0,UE_rnti16502,-94,-5,16,15,39,12,8,15,-4,15,167,34,0,3342322,1638351,346,284
0,UE_rnti16502,-88,-5,14,22,40,20,8,24,-6,15,142,27,0,3080222,786430,346,284
0,UE_rnti16502,-89,-5,8,20,41,13,8,20,6,15,171,32,0,2424877,917527,2158,2113
0,UE_rnti16502,-83,-5,13,18,40,19,8,18,11,15,171,35,0,3276770,1769419,588,588
0,UE_rnti16502,-87,-5,14,19,39,12,8,22,13,15,182,35,0,2293813,1441816,3197,3230
0,UE_rnti16502,-88,-5,14,20,39,14,8,20,17,15,166,27,0,2621462,1310713,588,588
0,UE_rnti16502,-87,-5,10,19,37,19,8,20,10,15,167,30,0,1507367,458759,363,204
0,UE_rnti16502,-88,-5,19,17,37,10,8,19,10,13,171,35,0,917568,-327630,1331,1330
0,UE_rnti16502,-88,-5,11,21,35,14,8,21,10,13,167,37,0,4063312,2949176,8377,8300
0,UE_rnti16502,-91,-5,14,20,34,16,8,20,11,15,180,35,0,-196577,-2621440,7943,8056
0,UE_rnti16502,-90,-5,16,10,34,16,8,10,13,15,183,32,0,4456466,2621445,423,315
0,UE_rnti16502,-90,-5,19,18,34,14,8,18,24,14,152,24,0,3407901,1703937,877,867
0,UE_rnti16502,-89,-5,20,14,35,20,8,14,7,15,172,34,0,3014637,1900494,238,326
0,UE_rnti16502,-92,-5,24,21,35,18,8,21,14,15,173,27,0,3866621,1179631,278,253
0,UE_rnti16502,-90,-5,18,23,36,21,8,23,10,15,169,34,0,2687041,1048613,997,1204
0,UE_rnti16502,-93,-5,28,23,36,19,8,21,20,15,165,30,0,2490396,1376264,588,575
0,UE_rnti16502,-90,-5,20,21,36,20,8,22,28,15,153,34,0,5373947,2883547,500,572
0,UE_rnti16502,-90,-5,16,19,37,18,8,19,8,15,169,32,0,2883648,1835042,800,757
0,UE_rnti16502,-88,-5,19,18,36,14,8,20,10,15,174,34,0,1245230,-917487,1367,1400
0,UE_rnti16502,-89,-5,15,22,36,22,8,24,10,15,166,32,0,1572897,65544,262,421
0,UE_rnti16502,-92,-5,16,24,36,16,8,24,21,15,136,36,0,4915176,3342286,859,1016
0,UE_rnti16502,-90,-5,16,25,36,16,8,24,18,15,162,29,0,2031642,917519,681,729
0,UE_rnti16502,-89,-5,20,18,36,20,8,19,11,15,173,36,0,4259828,3276751,1228,1206
0,UE_rnti16502,-84,-5,22,13,35,16,8,13,17,15,166,30,0,2686979,458730,117,71
0,UE_rnti16502,-86,-5,19,14,35,22,8,19,7,15,167,32,0,3801087,1572831,613,736
0,UE_rnti16502,-89,-5,16,17,35,21,8,17,13,15,175,35,0,1703972,-262143,125,183
0,UE_rnti16502,-87,-5,26,22,36,23,8,22,8,15,150,38,0,5177427,4128817,775,1040
0,UE_rnti16502,-85,-5,22,22,36,22,8,22,3,15,158,24,0,2687008,2031630,775,1040
0,UE_rnti16502,-87,-5,28,21,36,28,8,21,12,15,171,29,0,1638434,393225,775,1040
0,UE_rnti16502,-86,-5,25,19,36,27,8,21,17,15,169,36,0,6225924,4980703,775,1040
0,UE_rnti16502,-92,-5,17,20,37,21,8,23,12,15,176,32,0,2555927,917495,638,693
0,UE_rnti16502,-87,-5,23,21,37,23,8,22,10,15,171,30,0,1900554,589803,590,695
0,UE_rnti16502,-95,-5,17,14,36,8,8,14,14,15,183,37,0,-1179609,-2818024,3563,3642
0,UE_rnti16502,-94,-6,15,23,36,16,8,19,21,14,160,33,0,3997675,2424796,210,164
0,UE_rnti16502,-88,-5,14,15,36,20,8,4,7,13,169,38,0,-196633,-2883631,84,121
0,UE_rnti16502,-89,-5,25,20,36,13,8,16,12,15,178,37,0,4390888,2097096,313,213
0,UE_rnti16502,-94,-5,10,30,36,14,8,23,19,15,163,37,0,3539031,2949170,581,596
0,UE_rnti16502,-94,-6,11,21,37,18,8,21,21,15,158,29,0,4456479,2359311,771,670
0,UE_rnti16502,-89,-5,18,23,37,18,8,23,7,15,159,27,0,2818068,1114113,588,562
0,UE_rnti16502,-92,-5,18,24,37,16,8,18,15,15,174,29,0,2686996,1048568,700,640
0,UE_rnti16502,-94,-5,22,16,37,22,8,16,1,15,116,19,0,2359327,1114108,5343,5328
0,UE_rnti16502,-94,-5,22,24,39,22,8,24,8,15,113,19,0,2359329,655365,5343,5328
0,UE_rnti33818,-88,-4,14,22,80,17,8,22,0,13,171,19,0,2686987,-16,293,362
0,UE_rnti28434,-85,-4,31,20,40,29,8,19,16,15,168,35,0,3014723,1769518,495,558
0,UE_rnti28434,-80,-4,31,20,41,30,8,20,10,15,168,33,0,1245188,-1114127,588,588
0,UE_rnti28434,-78,-4,33,17,40,28,8,17,11,15,171,35,0,131099,-1900533,225,226
0,UE_rnti28434,-87,-4,23,21,40,23,8,21,6,15,146,37,0,4456512,3801120,2555,2557
